pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
304,"NHH","NZKXU","2:Nominal choice","Y",0,100,"2:Master","male",24,"6:H",3,1,1,1
305,"NHH","NZKXU","1:No choice","Y",400,600,"2:Master","male",23,"2:Ap",2,0,1,1
306,"NHH","NZKXU","3:Forced choice","Y",200,500,"1:Bachelor","female",21,"6:H",2,1,0,1
307,"NHH","NZKXU","1:No choice","Y",400,500,"2:Master","male",25,"2:Ap",3,1,1,1
308,"NHH","NZKXU","3:Forced choice","Y",400,500,"1:Bachelor","female",22,"5:V",2,1,0,1
309,"NHH","NZKXU","2:Nominal choice","G",300,500,"1:Bachelor","female",20,"6:H",0,0,0,0
310,"NHH","NZKXU","3:Forced choice","Y",0,300,"1:Bachelor","male",22,"6:H",3,1,1,1
311,"NHH","NZKXU","2:Nominal choice","G",400,500,"1:Bachelor","male",20,"4:Krf",3,1,1,1
312,"NHH","NZKXU","1:No choice","Y",300,400,"1:Bachelor","female",21,"7:Frp",1,0,0,1
313,"NHH","NZKXU","3:Forced choice","Y",350,700,"1:Bachelor","male",23,"5:V",2,1,0,1
314,"NHH","NZKXU","1:No choice","Y",400,900,"2:Master","female",22,"6:H",1,0,0,1
315,"NHH","NZKXU","3:Forced choice","Y",200,875,"2:Master","male",24,"2:Ap",0,0,0,0
316,"NHH","NZKXU","3:Forced choice","Y",800,125,"2:Master","male",24,"7:Frp",3,1,1,1
317,"NHH","NZKXU","1:No choice","Y",400,900,"1:Bachelor","female",20,"blank",3,1,1,1
318,"NHH","NZKXU","2:Nominal choice","G",0,100,"1:Bachelor","male",25,"4:Krf",0,0,0,0
319,"NHH","NZKXU","3:Forced choice","Y",300,500,"1:Bachelor","female",23,"6:H",3,1,1,1
320,"NHH","NZKXU","2:Nominal choice","G",300,700,"1:Bachelor","male",21,"6:H",2,1,0,1
321,"NHH","NZKXU","3:Forced choice","Y",400,600,"2:Master","female",22,"6:H",0,0,0,0
323,"NHH","NZKXU","2:Nominal choice","Y",200,500,"2:Master","male",23,"6:H",3,1,1,1
324,"NHH","NZKXU","1:No choice","Y",0,400,"2:Master","male",24,"6:H",2,1,0,1
325,"NHH","NZKXU","3:Forced choice","Y",300,500,"1:Bachelor","female",24,"6:H",3,1,1,1
326,"NHH","NZKXU","3:Forced choice","Y",400,900,"1:Bachelor","male",20,"6:H",3,1,1,1
327,"NHH","NZKXU","2:Nominal choice","G",300,100,"1:Bachelor","male",21,"6:H",2,0,1,1
328,"NHH","NZKXU","2:Nominal choice","Y",400,600,"1:Bachelor","female",21,"6:H",2,0,1,1
329,"NHH","NZKXU","1:No choice","Y",400,500,"2:Master","male",27,"6:H",2,1,0,1
330,"NHH","NZKXU","1:No choice","Y",400,900,"1:Bachelor","female",23,"2:Ap",1,0,0,1
331,"NHH","NZKXU","1:No choice","Y",300,900,"1:Bachelor","female",22,"6:H",3,1,1,1
332,"NHH","NZKXU","2:Nominal choice","Y",400,100,"1:Bachelor","female",22,"5:V",3,1,1,1
333,"NHH","NZKXU","3:Forced choice","Y",400,900,"2:Master","male",23,"6:H",2,0,1,1
334,"NHH","NZKXU","2:Nominal choice","Y",400,100,"1:Bachelor","female",21,"6:H",1,0,0,1
335,"NHH","NZKXU","2:Nominal choice","Y",400,900,"2:Master","male",22,"blank",3,1,1,1
336,"NHH","NZKXU","3:Forced choice","Y",300,400,"2:Master","male",26,"5:V",2,0,1,1
337,"NHH","NZKXU","2:Nominal choice","G",200,100,"1:Bachelor","female",22,"6:H",1,0,0,1
338,"NHH","PEHGF","2:Nominal choice","G",400,900,"2:Master","female",24,"6:H",3,1,1,1
339,"NHH","PEHGF","3:Forced choice","Y",400,400,"1:Bachelor","female",22,"6:H",0,0,0,0
340,"NHH","PEHGF","3:Forced choice","Y",300,600,"2:Master","male",23,"6:H",2,1,0,1
341,"NHH","PEHGF","2:Nominal choice","Y",200,900,"1:Bachelor","female",22,"4:Krf",0,0,0,0
342,"NHH","PEHGF","2:Nominal choice","G",400,900,"1:Bachelor","male",24,"6:H",3,1,1,1
343,"NHH","PEHGF","1:No choice","Y",300,800,"1:Bachelor","female",22,"6:H",1,0,1,0
344,"NHH","PEHGF","2:Nominal choice","Y",100,900,"1:Bachelor","male",22,"6:H",3,1,1,1
345,"NHH","PEHGF","1:No choice","Y",400,900,"2:Master","male",24,"7:Frp",2,1,0,1
346,"NHH","PEHGF","1:No choice","Y",300,200,"1:Bachelor","male",19,"5:V",1,1,0,0
347,"NHH","PEHGF","3:Forced choice","Y",400,400,"2:Master","male",25,"3:Sp",2,0,1,1
348,"NHH","PEHGF","2:Nominal choice","G",800,100,"2:Master","male",30,"6:H",3,1,1,1
349,"NHH","PEHGF","2:Nominal choice","G",400,900,"2:Master","female",23,"5:V",3,1,1,1
350,"NHH","PEHGF","1:No choice","Y",0,100,"2:Master","male",26,"6:H",2,0,1,1
351,"NHH","PEHGF","2:Nominal choice","G",400,900,"1:Bachelor","female",24,"2:Ap",3,1,1,1
352,"NHH","PEHGF","3:Forced choice","Y",400,600,"2:Master","male",27,"2:Ap",3,1,1,1
353,"NHH","PEHGF","1:No choice","Y",400,600,"1:Bachelor","male",23,"6:H",1,0,0,1
354,"NHH","PEHGF","2:Nominal choice","G",0,900,"2:Master","male",25,"6:H",2,1,0,1
355,"NHH","PEHGF","3:Forced choice","Y",200,100,"2:Master","male",26,"6:H",1,0,0,1
356,"NHH","PEHGF","3:Forced choice","Y",400,900,"2:Master","male",24,"2:Ap",3,1,1,1
357,"NHH","PEHGF","1:No choice","Y",0,400,"2:Master","male",30,"3:Sp",1,0,1,0
358,"NHH","PEHGF","3:Forced choice","Y",0,700,"1:Bachelor","male",23,"6:H",3,1,1,1
359,"NHH","PEHGF","1:No choice","Y",0,400,"1:Bachelor","male",20,"6:H",3,1,1,1
360,"NHH","PEHGF","3:Forced choice","Y",0,300,"2:Master","female",24,"5:V",3,1,1,1
361,"NHH","PEHGF","2:Nominal choice","G",0,350,"2:Master","male",25,"6:H",2,0,1,1
362,"NHH","PEHGF","1:No choice","Y",230,600,"1:Bachelor","male",22,"6:H",2,1,0,1
363,"NHH","PEHGF","1:No choice","Y",100,600,"1:Bachelor","male",20,"5:V",2,1,0,1
364,"NHH","PEHGF","1:No choice","Y",300,900,"2:Master","female",37.25,"other party",1,0,1,0
365,"NHH","PEHGF","2:Nominal choice","Y",100,900,"1:Bachelor","male",20,"2:Ap",2,0,1,1
366,"NHH","PEHGF","2:Nominal choice","G",0,100,"2:Master","male",24,"6:H",0,0,0,0
367,"NHH","PEHGF","1:No choice","Y",400,600,"1:Bachelor","male",21,"6:H",3,1,1,1
368,"NHH","PEHGF","2:Nominal choice","Y",400,100,"2:Master","female",23,"5:V",1,0,0,1
369,"NHH","PEHGF","3:Forced choice","Y",0,500,"1:Bachelor","male",21,"2:Ap",1,0,0,1
371,"NHH","PEHGF","3:Forced choice","Y",400,500,"1:Bachelor","male",23,"6:H",2,0,1,1
372,"NHH","PEHGF","3:Forced choice","Y",400,500,"2:Master","female",26,"5:V",3,1,1,1
373,"NHH","PEHGF","1:No choice","Y",400,900,"1:Bachelor","male",23,"6:H",3,1,1,1
374,"NHH","PEHGF","1:No choice","Y",0,400,"2:Master","male",24,"6:H",2,1,1,0
375,"NHH","PEHGF","2:Nominal choice","G",400,900,"2:Master","female",24,"2:Ap",1,0,1,0
376,"NHH","PEHGF","2:Nominal choice","G",400,500,"2:Master","male",28,"6:H",2,0,1,1
377,"NHH","PEHGF","2:Nominal choice","G",0,700,"1:Bachelor","male",24,"5:V",1,0,0,1
378,"NHH","PEHGF","1:No choice","Y",0,100,"1:Bachelor","female",22,"2:Ap",1,1,0,0
379,"NHH","PEHGF","1:No choice","Y",0,900,"2:Master","male",25,"6:H",1,1,0,0
380,"NHH","PEHGF","3:Forced choice","Y",400,500,"1:Bachelor","female",23,"6:H",1,0,0,1
381,"NHH","PEHGF","3:Forced choice","Y",0,500,"1:Bachelor","male",22,"6:H",2,0,1,1
383,"NHH","PEHGF","2:Nominal choice","Y",350,300,"2:Master","male",26,"6:H",1,0,0,1
384,"NHH","PEHGF","2:Nominal choice","G",400,900,"2:Master","female",23,"2:Ap",3,1,1,1
385,"NHH","PEHGF","1:No choice","Y",350,900,"2:Master","male",25,"2:Ap",2,0,1,1
386,"NHH","PEHGF","1:No choice","Y",300,900,"1:Bachelor","male",23,"5:V",3,1,1,1
387,"NHH","PEHGF","2:Nominal choice","Y",0,500,"1:Bachelor","male",21,"6:H",3,1,1,1
388,"NHH","PEHGF","1:No choice","Y",400,900,"2:Master","male",24,"6:H",3,1,1,1
389,"NHH","PEHGF","3:Forced choice","Y",400,500,"1:Bachelor","male",20,"2:Ap",3,1,1,1
390,"NHH","PEHGF","3:Forced choice","Y",200,900,"2:Master","female",22,"6:H",2,0,1,1
391,"NHH","PEHGF","2:Nominal choice","Y",0,650,"1:Bachelor","male",21,"6:H",3,1,1,1
392,"NHH","PEHGF","3:Forced choice","Y",400,100,"2:Master","male",26,"5:V",3,1,1,1
393,"NHH","PEHGF","3:Forced choice","Y",250,100,"1:Bachelor","female",19,"6:H",0,0,0,0
394,"NHH","PEHGF","3:Forced choice","Y",800,100,"1:Bachelor","male",21,"6:H",3,1,1,1
395,"NHH","PEHGF","2:Nominal choice","Y",250,900,"2:Master","male",24,"2:Ap",3,1,1,1
396,"NHH","PEHGF","1:No choice","Y",50,400,"2:Master","female",24,"2:Ap",0,0,0,0
397,"NHH","PEHGF","1:No choice","Y",300,900,"2:Master","male",28,"6:H",2,0,1,1
398,"NHH","PEHGF","3:Forced choice","Y",300,900,"1:Bachelor","male",21,"6:H",0,0,0,0
399,"NHH","PEHGF","3:Forced choice","Y",300,100,"1:Bachelor","male",18,"2:Ap",1,1,0,0
400,"NHH","TRXUS","3:Forced choice","Y",400,600,"1:Bachelor","male",21,"2:Ap",3,1,1,1
401,"NHH","TRXUS","3:Forced choice","Y",400,400,"2:Master","female",23,"6:H",1,0,0,1
402,"NHH","TRXUS","3:Forced choice","Y",0,900,"2:Master","male",23,"6:H",3,1,1,1
403,"NHH","TRXUS","3:Forced choice","Y",400,100,"2:Master","female",25,"6:H",1,1,0,0
404,"NHH","TRXUS","2:Nominal choice","G",400,450,"2:Master","male",26,"6:H",3,1,1,1
405,"NHH","TRXUS","1:No choice","Y",400,700,"2:Master","male",27,"3:Sp",3,1,1,1
406,"NHH","TRXUS","2:Nominal choice","Y",100,900,"2:Master","female",23,"other party",2,1,1,0
407,"NHH","TRXUS","2:Nominal choice","Y",400,900,"1:Bachelor","female",23,"1:SV",1,0,0,1
408,"NHH","TRXUS","2:Nominal choice","G",0,900,"1:Bachelor","male",22,"6:H",2,0,1,1
409,"NHH","TRXUS","1:No choice","Y",400,300,"2:Master","male",26,"6:H",2,0,1,1
410,"NHH","TRXUS","1:No choice","Y",400,450,"2:Master","female",27,"2:Ap",1,1,0,0
411,"NHH","TRXUS","1:No choice","Y",400,550,"1:Bachelor","male",20,"6:H",1,0,0,1
412,"NHH","TRXUS","2:Nominal choice","G",400,900,"2:Master","female",23,"1:SV",1,0,0,1
413,"NHH","TRXUS","1:No choice","Y",400,500,"2:Master","male",24,"2:Ap",3,1,1,1
414,"NHH","TRXUS","3:Forced choice","Y",300,500,"1:Bachelor","male",21,"7:Frp",0,0,0,0
415,"NHH","TRXUS","2:Nominal choice","G",0,500,"2:Master","male",25,"6:H",0,0,0,0
416,"NHH","TRXUS","1:No choice","Y",400,500,"1:Bachelor","male",22,"2:Ap",1,0,0,1
417,"NHH","TRXUS","2:Nominal choice","G",400,900,"1:Bachelor","male",22,"1:SV",3,1,1,1
418,"NHH","TRXUS","1:No choice","Y",100,500,"1:Bachelor","female",20,"2:Ap",1,0,0,1
419,"NHH","TRXUS","2:Nominal choice","Y",300,900,"2:Master","male",26,"6:H",3,1,1,1
420,"NHH","TRXUS","3:Forced choice","Y",400,500,"1:Bachelor","male",21,"blank",3,1,1,1
421,"NHH","TRXUS","3:Forced choice","Y",400,400,"2:Master","male",24,"blank",3,1,1,1
422,"NHH","TRXUS","2:Nominal choice","Y",0,200,"1:Bachelor","male",20,"blank",2,0,1,1
423,"NHH","TRXUS","3:Forced choice","Y",300,500,"2:Master","female",24,"2:Ap",0,0,0,0
424,"NHH","TRXUS","2:Nominal choice","Y",400,900,"2:Master","female",24,"2:Ap",3,1,1,1
425,"NHH","TRXUS","3:Forced choice","Y",0,600,"2:Master","male",28,"6:H",3,1,1,1
426,"NHH","TRXUS","3:Forced choice","Y",400,100,"2:Master","female",23,"6:H",2,1,0,1
427,"NHH","TRXUS","1:No choice","Y",400,500,"2:Master","male",26,"6:H",2,0,1,1
428,"NHH","TRXUS","2:Nominal choice","Y",350,900,"1:Bachelor","male",22,"6:H",2,0,1,1
429,"NHH","TRXUS","1:No choice","Y",400,500,"1:Bachelor","female",25,"5:V",0,0,0,0
430,"NHH","TRXUS","3:Forced choice","Y",400,500,"2:Master","male",24,"6:H",1,0,0,1
431,"NHH","TRXUS","3:Forced choice","Y",400,100,"2:Master","female",24,"2:Ap",1,1,0,0
432,"NHH","TRXUS","1:No choice","Y",400,500,"2:Master","male",24,"2:Ap",3,1,1,1
433,"NHH","TRXUS","1:No choice","Y",400,500,"2:Master","male",25,"6:H",3,1,1,1
434,"NHH","TRXUS","2:Nominal choice","Y",200,900,"2:Master","male",22,"7:Frp",2,1,0,1
435,"NHH","TRXUS","1:No choice","Y",400,500,"1:Bachelor","male",23,"blank",3,1,1,1
436,"NHH","TRXUS","2:Nominal choice","G",150,300,"2:Master","female",23,"6:H",1,0,0,1
437,"NHH","TRXUS","2:Nominal choice","Y",0,900,"1:Bachelor","male",21,"2:Ap",2,1,0,1
438,"NHH","TRXUS","1:No choice","Y",400,500,"1:Bachelor","male",22,"5:V",2,1,0,1
439,"NHH","TRXUS","3:Forced choice","Y",400,100,"2:Master","female",23,"2:Ap",3,1,1,1
440,"NHH","TRXUS","3:Forced choice","Y",400,500,"1:Bachelor","male",20,"6:H",1,1,0,0
442,"NHH","TRXUS","2:Nominal choice","Y",300,700,"1:Bachelor","male",20,"6:H",2,1,0,1
443,"NHH","TRXUS","3:Forced choice","Y",300,900,"2:Master","male",27,"6:H",1,0,0,1
444,"NHH","TRXUS","2:Nominal choice","G",400,100,"1:Bachelor","male",21,"blank",3,1,1,1
445,"NHH","TRXUS","3:Forced choice","Y",0,100,"1:Bachelor","male",20,"6:H",2,0,1,1
446,"NHH","TRXUS","1:No choice","Y",300,100,"2:Master","male",24,"2:Ap",2,0,1,1
447,"NHH","TRXUS","1:No choice","Y",350,500,"1:Bachelor","male",23,"6:H",2,0,1,1
448,"NHH","TRXUS","1:No choice","Y",400,500,"2:Master","male",26,"2:Ap",3,1,1,1
449,"NHH","TRXUS","3:Forced choice","Y",400,100,"2:Master","male",24,"2:Ap",3,1,1,1
450,"NHH","TRXUS","1:No choice","Y",400,100,"1:Bachelor","female",19,"6:H",0,0,0,0
451,"NHH","TRXUS","3:Forced choice","Y",400,100,"1:Bachelor","female",22,"6:H",0,0,0,0
452,"NHH","TRXUS","3:Forced choice","Y",400,500,"2:Master","female",23,"2:Ap",2,1,1,0
453,"NHH","TRXUS","2:Nominal choice","Y",800,550,"2:Master","male",24,"6:H",3,1,1,1
455,"NHH","TRXUS","2:Nominal choice","Y",800,100,"2:Master","male",26,"2:Ap",1,0,0,1
456,"NHH","TRXUS","2:Nominal choice","Y",400,500,"1:Bachelor","female",20,"other party",0,0,0,0
457,"NHH","TRXUS","1:No choice","Y",400,100,"1:Bachelor","male",20,"6:H",0,0,0,0
458,"NHH","TRXUS","2:Nominal choice","G",500,800,"1:Bachelor","female",21,"6:H",3,1,1,1
459,"NHH","TRXUS","1:No choice","Y",200,500,"2:Master","female",37.25,"2:Ap",2,1,0,1
460,"NHH","TRXUS","3:Forced choice","Y",0,100,"1:Bachelor","male",22,"6:H",3,1,1,1
